Arc_length vs Data,007_08months_DTI_antsBM,008_08months_DTI_antsBM,013_09months_DTI_antsBM,014_09months_DTI_antsBM,016_08months_DTI_antsBM,017_07months_DTI_antsBM,018_07months_DTI_antsBM,019_08months_DTI_antsBM,020_08months_DTI_antsBM,021_08months_DTI_antsBM,022_08months_DTI_antsBM,023_08months_DTI_antsBM,025_07months_DTI_antsBM,026_07months_DTI_antsBM,027_07months_DTI_antsBM,028_07months_DTI_antsBM,029_08months_DTI_antsBM,030_08months_DTI_antsBM,031_07months_DTI_antsBM,032_09months_DTI_antsBM,033_07months_DTI_antsBM,034_07months_DTI_antsBM,034_09months_DTI_antsBM,035_09months_DTI_antsBM,036_09months_DTI_antsBM,Atlas
-31.0576,0.1887,0.145407,0.135137,0.194194,0.13763,0.208086,0.139067,0.192993,0.160364,0.156318,0.102434,0.136922,0.16702,0.209099,0.146745,0.156568,0.170144,0.113678,0.207769,0.191262,0.130593,0.203141,0.167122,0.229009,0.130029,0.128732
-30.5576,0.175116,0.139232,0.157985,0.164736,0.128696,0.183078,0.12661,0.187438,0.144408,0.1588,0.10473,0.129396,0.141186,0.190682,0.135103,0.167279,0.152438,0.0980261,0.182818,0.158674,0.12609,0.171015,0.164498,0.183678,0.122969,0.128123
-30.0576,0.170138,0.146824,0.183808,0.157715,0.131522,0.119583,0.126439,0.182556,0.141106,0.168431,0.118651,0.13379,0.141509,0.18186,0.138963,0.174509,0.153773,0.10016,0.183091,0.149236,0.133108,0.158505,0.166472,0.170385,0.128932,0.131705
-29.5576,0.173744,0.157953,0.198987,0.170086,0.142788,0.104253,0.135972,0.185065,0.15123,0.18126,0.132351,0.142516,0.155034,0.189077,0.151722,0.179407,0.164266,0.110698,0.197157,0.156104,0.146494,0.168665,0.172292,0.181241,0.139887,0.13881
-29.0576,0.178822,0.170171,0.207824,0.185585,0.155142,0.111434,0.147008,0.188482,0.164592,0.195486,0.147232,0.15424,0.169824,0.200056,0.165953,0.183007,0.173558,0.122758,0.209432,0.165467,0.159785,0.180613,0.176015,0.191903,0.151164,0.145576
-28.5576,0.183195,0.181814,0.214331,0.199649,0.16387,0.131805,0.158382,0.190452,0.17599,0.205112,0.161088,0.167038,0.179023,0.208933,0.17818,0.185316,0.179412,0.134191,0.217012,0.17554,0.168314,0.194098,0.176218,0.199176,0.162038,0.151243
-28.0576,0.186801,0.190644,0.216693,0.210851,0.169695,0.154508,0.166967,0.190843,0.185397,0.211151,0.173744,0.177784,0.182086,0.214151,0.186536,0.188431,0.180624,0.146669,0.219771,0.184346,0.172077,0.208442,0.174831,0.202922,0.171991,0.155739
-27.5576,0.191034,0.194673,0.218544,0.216412,0.172796,0.172361,0.170615,0.191992,0.190178,0.216266,0.183428,0.184403,0.182166,0.217236,0.190192,0.191953,0.17975,0.152959,0.219444,0.190863,0.172286,0.220712,0.174388,0.206061,0.177094,0.159607
-27.0576,0.196888,0.194322,0.22165,0.217504,0.175054,0.182225,0.171142,0.196066,0.191896,0.221612,0.189588,0.186351,0.181908,0.219493,0.191377,0.195317,0.179022,0.154989,0.2195,0.194396,0.17205,0.231833,0.177167,0.212109,0.178055,0.163009
-26.5576,0.206808,0.19237,0.225816,0.2168,0.179404,0.1842,0.172119,0.205077,0.193705,0.23093,0.195006,0.186087,0.186062,0.22453,0.193821,0.199037,0.180956,0.156611,0.22258,0.195698,0.175404,0.243731,0.184414,0.222665,0.177689,0.166542
-26.0576,0.221913,0.191233,0.23241,0.215094,0.186343,0.184653,0.177354,0.219352,0.19618,0.243341,0.201202,0.1869,0.195987,0.233887,0.200046,0.203266,0.186239,0.158912,0.228598,0.196357,0.183391,0.258281,0.195283,0.236693,0.178633,0.170093
-25.5576,0.239533,0.193312,0.239711,0.213369,0.195201,0.18526,0.18805,0.235247,0.199533,0.254616,0.209003,0.190843,0.208948,0.245484,0.208644,0.208833,0.193068,0.165217,0.23586,0.197252,0.194535,0.273822,0.206413,0.248957,0.183839,0.172613
